execution_number,client_id,status_response,body_response,elapsed_time,current_date
16,9e532149-4a56-4cfd-819a-91077933fa70,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",12.282364130020142,06_06_2022
4,2c3f9f3a-b205-428c-914e-18698d12d4a6,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",13.30484414100647,06_06_2022
53,ae79b81d-b06e-4eca-b966-9fb3e29fb442,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",13.509849071502686,06_06_2022
30,1f4d6cc6-a3d1-4ad4-a2bc-6c202cfdb55d,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",13.541332244873047,06_06_2022
24,645aaaaf-3f18-4874-83d7-f92450f54905,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",13.589968919754028,06_06_2022
41,1cfc428a-f2dd-4e9e-b976-ad322444869f,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",13.586917400360107,06_06_2022
59,44c85af1-1ff0-4b4e-9dc5-f1374d48506d,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",13.747717142105103,06_06_2022
11,828e63c4-c219-49c0-a80a-c9e6cd31d13a,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",13.833009719848633,06_06_2022
1,9c0b104a-75c2-4e7f-a9bc-62ef1a4e0be4,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",13.844585657119751,06_06_2022
17,c8d3700a-2ff8-4214-b3ea-228dbf5c2424,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",13.842108249664307,06_06_2022
9,3dd90b7e-996d-42a7-8718-1cec52202cac,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",13.912410259246826,06_06_2022
0,bba4763a-dd97-4ebf-8b9c-711d9494423d,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",13.94827389717102,06_06_2022
6,40b7bf90-9741-4793-bfca-a1b276ea799d,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.024287462234497,06_06_2022
10,e30ee091-0b97-4477-8909-8000c115b227,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.031507730484009,06_06_2022
14,1257b3f6-2083-409c-9693-24a232ddb5c3,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.127015352249146,06_06_2022
19,943584a8-b3eb-4356-a714-7460f92cd1ca,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.156420230865479,06_06_2022
39,76f9310a-59b0-467e-ac0e-cf6e67a1e954,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.142766952514648,06_06_2022
7,6f4d5f40-d61a-4625-8ea3-b98123f4d855,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.22948694229126,06_06_2022
2,b8d27629-a93e-4d6e-a631-29de248d0687,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.245462417602539,06_06_2022
20,8c0938cb-b07f-4540-b32b-c7f89292b384,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.246904134750366,06_06_2022
13,3460d56a-dd61-478d-a419-4e981a62d963,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.278272867202759,06_06_2022
5,f7eeb955-e698-4d7f-81cb-4cdbe6a1764b,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.289040803909302,06_06_2022
23,68b3e724-eb68-45fd-9111-b434d4beea05,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.280395030975342,06_06_2022
15,b64f64f6-8d07-4cfe-bbdc-d649953033cc,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.342572450637817,06_06_2022
18,b2a8eb89-427b-4b9d-9bbb-3bf353883e20,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.382260799407959,06_06_2022
12,cecf5152-41c3-4569-b229-96b560f2391f,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.43522047996521,06_06_2022
110,69c13901-6703-4026-8318-2df72cda6a9e,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.393566608428955,06_06_2022
26,81b83153-dadd-4677-aa94-b65adf782601,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.533881902694702,06_06_2022
46,8a532620-896d-4aa4-b292-43696341dac2,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.538822412490845,06_06_2022
8,d74bd1ed-5caa-4746-a7a2-e39c4b602995,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.588082075119019,06_06_2022
118,d8f41d32-dd22-40a7-9457-217ef734fb83,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.651260375976562,06_06_2022
50,cebf5d30-110a-43e9-8173-06578d15f462,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.810203790664673,06_06_2022
163,295f7f5e-72d1-4bc0-8754-67e7cf721e1d,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.921792268753052,06_06_2022
55,fe9de238-89bb-41bd-ae26-b8c2517a43c4,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.168432235717773,06_06_2022
323,f31b3440-b9f8-49f1-9b9a-9820dffcbac0,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.91940426826477,06_06_2022
377,734b7d61-41e7-40b3-b703-dc4ffb3b5a99,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.908803939819336,06_06_2022
440,ed5bf281-6e40-4219-8a60-d3f849403547,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.840821504592896,06_06_2022
197,ca371bee-3da1-429b-80d4-a222ffb2ee02,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.108214139938354,06_06_2022
49,593c99b4-c5f8-4537-8dc5-40c11e71b2cd,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.391900062561035,06_06_2022
251,dbcdbc44-cc23-4790-b0e2-175f29b1ca5b,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.086174249649048,06_06_2022
203,fd264712-a8b0-4f9b-bb21-5c4c69d47a89,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.132787466049194,06_06_2022
351,1c963cf0-de4a-414f-b31c-6aa2df5a5dd0,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.026367902755737,06_06_2022
329,6ef4ce72-8b1f-47e0-9db3-897686202a98,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.055752038955688,06_06_2022
227,cf2fd199-830a-429e-a4bb-cd5f818b73d7,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.163778066635132,06_06_2022
198,dae2e15b-d1aa-4de7-be0a-4f19aac55ff7,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.190895557403564,06_06_2022
289,6e82ca2a-1cae-49d9-b07f-7a894c9916c3,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.122130632400513,06_06_2022
905,9946237b-ead2-4f1f-9000-4eb29180feb6,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.354527950286865,06_06_2022
892,536979c3-bfbe-4037-bdb4-3d79f4316332,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.390028238296509,06_06_2022
239,e9c282cf-a135-4ba3-8a58-e5dbabeedd60,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.235674142837524,06_06_2022
363,74775a24-ac85-4c45-88a2-a8708e2cc5c8,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.117599487304688,06_06_2022
34,c4598d71-c7c7-4252-a65c-d1eb506eb872,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.557748317718506,06_06_2022
553,b2f7f1bc-a599-49f0-b804-ba20f44c27bb,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.901658296585083,06_06_2022
284,9fd5409b-28f4-4891-881c-32fe46c8742f,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.22143840789795,06_06_2022
375,79b43aec-f5fa-417a-90a1-2df23cbf28c0,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.155660629272461,06_06_2022
491,bff5562c-24d3-45e6-92b7-fbd69ad5103f,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.021028995513916,06_06_2022
754,8f18069f-8add-4bd6-aa94-220164fb194c,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",14.638943910598755,06_06_2022
248,a4c27031-8327-474a-ac21-5507bd8619f2,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.321570873260498,06_06_2022
58,68e01bec-81d2-4745-bc29-0711c279f12e,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",15.657039880752563,06_06_2022
